"ID","NAME_TH","APP_NAME_TH","NAME_EN","APP_NAME_EN","GROUP_TYPE_TH","GROUP_TYPE_EN","CATEGORY_TH","CATEGORY_EN","UNIT_TH","UNIT_EN"
P11001,สุกรชำแหละ เนื้อสัน สันใน,สุกรชำแหละ เนื้อสัน สันใน ขายปลีก,Pork Tenderloin,Pork Tenderloin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/กก.,THB/kg.
P11002,สุกรชำแหละ เนื้อสัน สันนอก,สุกรชำแหละ เนื้อสัน สันนอก ขายปลีก,Pork Loin,Pork Loin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/กำ,THB/bundle
P11003,สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง),สุกรชำแหละ เนื้อแดง สะโพก (ตัดแต่ง) ขายปลีก,Trimmed Pork Ham,Trimmed Pork Ham Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ผล,THB/fruit
P11004,สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง),สุกรชำแหละ เนื้อแดง ไหล่ (ตัดแต่ง) ขายปลีก,Trimmed Pork Shoulder,Trimmed Pork Shoulder Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/หวี,THB/hand
P11005,สุกรชำแหละ เนื้อสามชั้น,สุกรชำแหละ เนื้อสามชั้น ขายปลีก,Pork Belly,Pork Belly Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ กก.,THB/kg.
P11006,สุกรชำแหละ มันแข็ง,สุกรชำแหละ มันแข็ง ขายปลีก,Pork Fatback,Pork Fatback Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/100 กก.,THB/100kg.
P11007,สุกรชำแหละ เศษมัน,สุกรชำแหละ เศษมัน ขายปลีก,Pork Trimmings,Pork Trimmings Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/15 กก.,THB/15kg.
P11008,สุกรชำแหละ มันเปลว,สุกรชำแหละ มันเปลว ขายปลีก,Pork Leaf Fat,Pork Leaf Fat Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ 15 กก.,THB/15kg.
P11009,ไก่สดทั้งตัว (รวมเครื่องใน),ไก่สดทั้งตัว (รวมเครื่องใน) ขายปลีก,Whole Chicken with Offals,Whole Chicken with Offals Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ 10 กำ,THB/10 bundles
P11010,ไก่สดทั้งตัว (ไม่รวมเครื่องใน),ไก่สดทั้งตัว (ไม่รวมเครื่องใน) ขายปลีก,Whole Chicken without Offals,Whole Chicken without Offals Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,USD/ตัน,USD/ton
P11011,ไก่สดชำแหละ เนื้อสันใน,ไก่สดชำแหละ เนื้อสันใน ขายปลีก,Chicken Tenderloin,Chicken Tenderloin Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/ขีด,THB/100g.
P11012,ไก่สดชำแหละ เนื้ออก (เนื้อล้วน),ไก่สดชำแหละ เนื้ออก (เนื้อล้วน) ขายปลีก,Chicken Breast (Meat Only),Chicken Breast (Meat Only) Retail,เนื้อสัตว์,Meat,ขายปลีก,Retail,บาท/3 กล่อง(กล่องละ 10 กก.),THB/3 boxes (10 kg./box)
