id,longitude,latitude,created_at,updated_at
COOR0,97.454215,18.327273,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR1,97.454215,18.439787,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR2,97.564778,18.439787,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR3,97.67534,17.877214,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR4,97.67534,18.214758,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR5,97.67534,18.327273,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR6,97.67534,18.439787,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR7,97.67534,18.552302,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR8,97.785903,17.7647,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR9,97.785903,17.877214,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR10,97.785903,17.989729,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR11,97.785903,18.102243,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR12,97.785903,18.214758,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR13,97.785903,18.327273,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR14,97.785903,18.439787,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR15,97.785903,18.552302,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR16,97.785903,18.664816,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR17,97.785903,18.777331,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR18,97.785903,18.889845,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR19,97.785903,19.00236,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR20,97.896466,17.652185,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR21,97.896466,17.7647,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR22,97.896466,17.877214,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR23,97.896466,17.989729,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR24,97.896466,18.102243,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR25,97.896466,18.214758,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR26,97.896466,18.327273,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR27,97.896466,18.439787,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR28,97.896466,18.552302,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR29,97.896466,18.664816,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR30,97.896466,18.777331,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR31,97.896466,18.889845,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR32,97.896466,19.00236,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR33,97.896466,19.114874,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR34,97.896466,19.227389,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR35,97.896466,19.339903,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR36,97.896466,19.452418,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR37,97.896466,19.564932,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR38,98.007029,17.539671,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR39,98.007029,17.652185,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR40,98.007029,17.7647,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR41,98.007029,17.877214,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR42,98.007029,17.989729,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR43,98.007029,18.102243,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR44,98.007029,18.214758,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR45,98.007029,18.327273,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR46,98.007029,18.439787,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR47,98.007029,18.552302,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR48,98.007029,18.664816,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR49,98.007029,18.777331,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR50,98.007029,18.889845,2025-10-20 22:53:20,2025-10-20 22:53:20
COOR51,98.007029,19.00236,2025-10-20 22:53:20,2025-10-20 22:53:20
