id,postal_code,name_th,name_en,province_id,latitude,longitude,coordinate_id,created_at,updated_at
DIST1,10200,เขตพระนคร,Khet Phra Nakhon,PROV1,13.7526168,100.4933634,COOR1576,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST2,10300,เขตดุสิต,Khet Dusit,PROV1,13.7705456,100.5126084,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST3,10530,เขตหนองจอก,Khet Nong Chok,PROV1,13.8563097,100.8630753,COOR1822,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST4,10500,เขตบางรัก,Khet Bang Rak,PROV1,13.7239499,100.5159599,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST5,10220,เขตบางเขน,Khet Bang Khen,PROV1,13.8755881,100.5969277,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST6,10240,เขตบางกะปิ,Khet Bang Kapi,PROV1,13.7640002,100.6448078,COOR1699,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST7,10330,เขตปทุมวัน,Khet Pathum Wan,PROV1,13.7461522,100.5310235,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST8,10100,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,PROV1,13.7439967,100.5147904,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST9,10260,เขตพระโขนง,Khet Phra Khanong,PROV1,13.7023638,100.6015464,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST10,10510,เขตมีนบุรี,Khet Min Buri,PROV1,13.8110633,100.750228,COOR1760,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST11,10520,เขตลาดกระบัง,Khet Lat Krabang,PROV1,13.7223491,100.7528643,COOR1759,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST12,10120,เขตยานนาวา,Khet Yan Nawa,PROV1,13.6797229,100.5435276,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST13,10100,เขตสัมพันธวงศ์,Khet Samphanthawong,PROV1,13.7378375,100.5103567,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST14,10400,เขตพญาไท,Khet Phaya Thai,PROV1,13.7710862,100.5365699,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST15,10600,เขตธนบุรี,Khet Thon Buri,PROV1,13.7263574,100.4891324,COOR1576,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST16,10600,เขตบางกอกใหญ่,Khet Bangkok Yai,PROV1,13.7393851,100.4854309,COOR1576,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST17,10310,เขตห้วยขวาง,Khet Huai Khwang,PROV1,13.7785797,100.5745983,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST18,10600,เขตคลองสาน,Khet Khlong San,PROV1,13.7300756,100.5085972,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST19,10170,เขตตลิ่งชัน,Khet Taling Chan,PROV1,13.7774708,100.4553273,COOR1577,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST20,10700,เขตบางกอกน้อย,Khet Bangkok Noi,PROV1,13.7614899,100.4782009,COOR1576,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST21,10150,เขตบางขุนเทียน,Khet Bang Khun Thian,PROV1,13.6567671,100.4300809,COOR1575,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST22,10160,เขตภาษีเจริญ,Khet Phasi Charoen,PROV1,13.7166019,100.4487061,COOR1576,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST23,10160,เขตหนองแขม,Khet Nong Khaem,PROV1,13.6783207,100.3453794,COOR1507,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST24,10140,เขตราษฎร์บูรณะ,Khet Rat Burana,PROV1,13.682131,100.5038952,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST25,10700,เขตบางพลัด,Khet Bang Phlat,PROV1,13.7906938,100.5036137,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST26,10400,เขตดินแดง,Khet Din Daeng,PROV1,13.760352,100.5550843,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST27,10240,เขตบึงกุ่ม,Khet Bueng Kum,PROV1,13.7853565,100.6686311,COOR1700,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST28,10120,เขตสาทร,Khet Sathon,PROV1,13.7213584,100.5305075,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST29,10800,เขตบางซื่อ,Khet Bang Sue,PROV1,13.8097113,100.5374364,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST30,10900,เขตจตุจักร,Khet Chatuchak,PROV1,13.8030357,100.5502304,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST31,10120,เขตบางคอแหลม,Khet Bang Kho Laem,PROV1,13.6956342,100.5014475,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST32,10250,เขตประเวศ,Khet Prawet,PROV1,13.7213599,100.6978082,COOR1699,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST33,10110,เขตคลองเตย,Khet Khlong Toei,PROV1,13.7186733,100.560278,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST34,10250,เขตสวนหลวง,Khet Suan Luang,PROV1,13.7194655,100.6129485,COOR1699,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST35,10150,เขตจอมทอง,Khet Chom Thong,PROV1,13.699096,100.4666233,COOR1576,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST36,10210,เขตดอนเมือง,Khet Don Mueang,PROV1,13.9226541,100.6009966,COOR1642,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST37,10400,เขตราชเทวี,Khet Ratchathewi,PROV1,13.7532229,100.5318599,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST38,10230,เขตลาดพร้าว,Khet Lat Phrao,PROV1,13.8036791,100.590874,COOR1641,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST39,10110,เขตวัฒนา,Khet Watthana,PROV1,13.7241203,100.583048,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST40,10160,เขตบางแค,Khet Bang Khae,PROV1,13.7107428,100.4208233,COOR1576,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST41,10210,เขตหลักสี่,Khet Lak Si,PROV1,13.8843541,100.5816329,COOR1642,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST42,10220,เขตสายไหม,Khet Sai Mai,PROV1,13.92126,100.657842,COOR1701,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST43,10230,เขตคันนายาว,Khet Khan Na Yao,PROV1,13.7954037,100.6912516,COOR1700,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST44,10240,เขตสะพานสูง,Khet Saphan Sung,PROV1,13.7684641,100.6854219,COOR1699,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST45,10310,เขตวังทองหลาง,Khet Wang Thonglang,PROV1,13.7678209,100.598274,COOR1640,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST46,10510,เขตคลองสามวา,Khet Khlong Sam Wa,PROV1,13.8476118,100.728278,COOR1760,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST47,10260,เขตบางนา,Khet Bang Na,PROV1,13.6730929,100.6068813,COOR1699,2025-10-20 23:53:00,2025-10-20 23:53:00
DIST48,10170,เขตทวีวัฒนา,Khet Thawi Watthana,PROV1,13.7665133,100.3456085,COOR1507,2025-10-20 23:53:00,2025-10-20 23:53:00
