postal_code,province_(thai),province,district_(thai),district,subdistrict_(thai),subdistrict,province_id,district_id,subdistrict_id,latitude,longitude
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,PROV1,DIST1,SUBDIST1,13.7499943,100.4917502
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,วังบูรพาภิรมย์,Wang Burapha Phirom,PROV1,DIST1,SUBDIST2,13.7456684,100.5018588
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,วัดราชบพิธ,Wat Ratchabophit,PROV1,DIST1,SUBDIST3,13.7488428,100.4971789
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,สำราญราษฎร์,Samran Rat,PROV1,DIST1,SUBDIST4,13.7521515,100.5044746
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,PROV1,DIST1,SUBDIST5,13.7538614,100.4982514
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,เสาชิงช้า,Sao Chingcha,PROV1,DIST1,SUBDIST6,13.7518891,100.5012654
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,บวรนิเวศ,Bowon Niwet,PROV1,DIST1,SUBDIST7,13.7598162,100.5007356
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,ตลาดยอด,Talat Yot,PROV1,DIST1,SUBDIST8,13.7603321,100.4978979
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,ชนะสงคราม,Chana Songkhram,PROV1,DIST1,SUBDIST9,13.7608948,100.4951566
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,บ้านพานถม,Ban Phan Thom,PROV1,DIST1,SUBDIST10,13.7622495,100.5016047
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,บางขุนพรหม,Bang Khun Phrom,PROV1,DIST1,SUBDIST11,13.7670199,100.5016237
10200,กรุงเทพมหานคร,Bangkok,เขตพระนคร,Khet Phra Nakhon,วัดสามพระยา,Wat Sam Phraya,PROV1,DIST1,SUBDIST12,13.7658186,100.499078
10300,กรุงเทพมหานคร,Bangkok,เขตดุสิต,Khet Dusit,ดุสิต,Dusit,PROV1,DIST2,SUBDIST13,13.7705391,100.5126071
10300,กรุงเทพมหานคร,Bangkok,เขตดุสิต,Khet Dusit,วชิรพยาบาล,Wachiraphayaban,PROV1,DIST2,SUBDIST14,13.7779747,100.5046631
10300,กรุงเทพมหานคร,Bangkok,เขตดุสิต,Khet Dusit,สวนจิตรลดา,Suan Chit Lada,PROV1,DIST2,SUBDIST15,13.7687916,100.520886
