id,name_th,name_en,postal_code,latitude,longitude,region_id,coordinate_id,created_at,updated_at
PROV1,กรุงเทพมหานคร,Bangkok,"[10200, 10200, 10200, 10200, 10200, 10200, 10200, 10200, 10200, 10200, 10200, 10200, 10300, 10300, 10300, 10300, 10300, 10530, 10530, 10530, 10530, 10530, 10530, 10530, 10530, 10500, 10500, 10500, 10500, 10500, 10220, 10220, 10240, 10240, 10330, 10330, 10330, 10330, 10100, 10100, 10100, 10100, 10100, 10260, 10510, 10510, 10520, 10520, 10520, 10520, 10520, 10520, 10120, 10120, 10100, 10100, 10100, 10400, 10600, 10600, 10600, 10600, 10600, 10600, 10600, 10600, 10600, 10310, 10310, 10310, 10600, 10600, 10600, 10600, 10170, 10170, 10170, 10170, 10170, 10170, 10700, 10700, 10700, 10700, 10700, 10150, 10150, 10160, 10160, 10160, 10160, 10160, 10160, 10160, 10160, 10160, 10160, 10160, 10160, 10140, 10140, 10700, 10700, 10700, 10700, 10400, 10240, 10240, 10240, 10120, 10120, 10120, 10800, 10900, 10900, 10900, 10900, 10900, 10120, 10120, 10120, 10250, 10250, 10250, 10250, 10110, 10110, 10110, 10110, 10110, 10110, 10250, 10150, 10150, 10150, 10150, 10210, 10400, 10400, 10400, 10400, 10230, 10230, 10110, 10110, 10110, 10160, 10160, 10160, 10160, 10210, 10210, 10220, 10220, 10220, 10230, 10240, 10310, 10510, 10510, 10510, 10510, 10510, 10260, 10170, 10170, 10140, 10140, 10150, 10400, 10400, 10260, 10250, 10250, 10240, 10240, 10260, 10260, 10150, 10150, 10150, 10150]",13.7524938,100.4935089,RE3,COOR1576,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV10,สระบุรี,Saraburi,"[18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18000, 18110, 18260, 18110, 18110, 18110, 18110, 18110, 18110, 18110, 18110, 18110, 18110, 18110, 18110, 18140, 18140, 18250, 18250, 18230, 18230, 18140, 18250, 18230, 18230, 18140, 18140, 18230, 18140, 18230, 18140, 18140, 18140, 18150, 18150, 18150, 18150, 18150, 18150, 18170, 18170, 18170, 18170, 18170, 18170, 18170, 18170, 18170, 18130, 18130, 18130, 18130, 18130, 18130, 18130, 18270, 18130, 18210, 18210, 18210, 18210, 18190, 18190, 18190, 18190, 18120, 18120, 18120, 18120, 18120, 18120, 18120, 18120, 18120, 18160, 18160, 18160, 18160, 18160, 18160, 18160, 18160, 18160, 18160, 18160, 18160, 18180, 18180, 18180, 18180, 18180, 18220, 18220, 18220, 18220, 18000, 18000, 18000, 18240, 18000, 18240]",14.6240563,100.8601022,RE3,COOR1829,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV11,ชลบุรี,Chon Buri,"[20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20000, 20130, 20130, 20000, 20130, 20000, 20000, 20170, 20220, 20170, 20170, 20170, 20170, 20220, 20220, 20190, 20190, 20190, 20190, 20190, 20150, 20150, 20150, 20150, 20150, 20150, 20150, 20150, 20160, 20160, 20160, 20160, 20160, 20160, 20160, 20160, 20160, 20160, 20160, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20140, 20110, 20110, 20230, 20230, 20110, 20110, 20110, 20230, 20120, 20180, 20250, 20180, 20250, 20180, 20270, 20270, 20270, 20270, 20270, 20270, 20240, 20240]",13.1857117,101.1210777,RE4,COOR1955,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV12,ระยอง,Rayong,"[21000, 21000, 21000, 21000, 21160, 21160, 21000, 21000, 21000, 21100, 21000, 21000, 21150, 21150, 21100, 21130, 21130, 21130, 21110, 21110, 21110, 21110, 21190, 21190, 21110, 21110, 21110, 22160, 21170, 21110, 21170, 21110, 21110, 21210, 21210, 21210, 21210, 21120, 21120, 21120, 21120, 21120, 21120, 21120, 21140, 21140, 21140, 21140, 21140, 21140, 21110, 21110, 21110, 21110, 21180, 21180, 21180, 21180]",12.6817905,101.277765,RE4,COOR2081,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV13,จันทบุรี,Chanthaburi,"[22000, 22000, 22000, 22000, 22000, 22000, 22000, 22000, 22000, 22000, 22000, 22110, 22110, 22110, 22110, 22110, 22110, 22110, 22110, 22110, 22110, 22110, 22150, 22120, 22120, 22120, 22120, 22120, 22120, 22120, 22120, 22170, 22170, 22170, 22120, 22120, 22170, 22140, 22140, 22140, 22140, 22140, 22150, 22150, 22150, 22150, 22150, 22150, 22130, 22130, 22130, 22190, 22190, 22190, 22120, 22180, 22180, 22180, 22180, 22180, 22160, 22160, 22160, 22160, 22160, 22160, 22170, 22170, 22170, 22160, 22170, 22210, 22210, 22210, 22210, 22210]",12.9081033,102.0159145,RE4,COOR2397,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV14,ตราด,Trat,"[23000, 23000, 23000, 23000, 23000, 23000, 23000, 23000, 23000, 23000, 23000, 23000, 23000, 23000, 23110, 23110, 23110, 23130, 23150, 23130, 23150, 23150, 23150, 23150, 23130, 23140, 23140, 23140, 23140, 23140, 23120, 23120, 23120, 23120, 23000, 23000, 23170, 23170]",12.2593544,102.4268871,RE4,COOR2599,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV15,ฉะเชิงเทรา,Chachoengsao,"[24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24000, 24110, 24110, 24110, 24110, 24110, 24110, 24110, 24110, 24110, 24150, 24150, 24150, 24150, 24170, 24170, 24150, 24170, 24000, 24150, 24130, 24130, 24180, 24180, 24130, 24180, 24130, 24130, 24130, 24130, 24180, 24130, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24140, 24120, 24120, 24120, 24120, 24120, 24120, 24120, 24120, 24120, 24120, 24120, 24160, 24160, 24160, 24160, 24190, 24190, 24190, 24190, 24160, 24160, 24000, 24000, 24000, 24000, 24110]",13.6891784,101.0708268,RE4,COOR1960,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV16,ปราจีนบุรี,Prachin Buri,"[25000, 25000, 25000, 25000, 25000, 25000, 25230, 25230, 25230, 25000, 25230, 25000, 25110, 25240, 25110, 25110, 25110, 25110, 25110, 25110, 25110, 25110, 25110, 25110, 25110, 25110, 25220, 25220, 25220, 25220, 25220, 25220, 25150, 25150, 25150, 25150, 25150, 25150, 25150, 25150, 25150, 25130, 25130, 25130, 25130, 25130, 25130, 25130, 25130, 25130, 25140, 25140, 25140, 25140, 25140, 25140, 25140, 25140, 25140, 25140, 25190, 25190, 25190, 25190]",14.0541467,101.3724276,RE4,COOR2093,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV17,นครนายก,Nakhon Nayok,"[26000, 26000, 26000, 26000, 26000, 26000, 26000, 26000, 26000, 26000, 26000, 26000, 26000, 26130, 26130, 26130, 26130, 26130, 26130, 26130, 26110, 26110, 26110, 26110, 26110, 26110, 26110, 26110, 26110, 26110, 26120, 26120, 26120, 26120, 26120, 26120, 26120, 26120, 26120, 26120, 26120]",14.203647,101.2147087,RE3,COOR2033,2025-10-20 23:11:54,2025-10-20 23:11:54
PROV18,สระแก้ว,Sa Kaeo,"[27000, 27000, 27000, 27000, 27000, 27000, 27000, 27000, 27260, 27260, 27260, 27260, 27260, 27260, 27260, 27180, 27180, 27180, 27180, 27180, 27210, 27210, 27210, 27210, 27160, 27160, 27160, 27160, 27160, 27160, 27160, 27160, 27160, 27160, 27160, 27120, 27120, 27120, 27120, 27120, 27120, 27120, 27120, 27120, 27120, 27120, 27120, 27120, 27000, 27000, 27000, 27000, 27120, 27180, 27180, 27120, 27250, 27250, 27250]",13.7686129,102.1345352,RE4,COOR2455,2025-10-20 23:11:54,2025-10-20 23:11:54
