province_id,district_id,id,postal_code,name_en,name_th,latitude,longitude,full_address_eng,full_address_th,created_at,updated_at,coordinate_id
PROV1,DIST1,SUBDIST1,10200,Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,13.7499943,100.4917502,"Phra Borom Maha Ratchawang, Khet Phra Nakhon, Bangkok, Thailand","พระบรมมหาราชวัง, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1576
PROV1,DIST1,SUBDIST2,10200,Wang Burapha Phirom,วังบูรพาภิรมย์,13.7456684,100.5018588,"Wang Burapha Phirom, Khet Phra Nakhon, Bangkok, Thailand","วังบูรพาภิรมย์, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST3,10200,Wat Ratchabophit,วัดราชบพิธ,13.7488428,100.4971789,"Wat Ratchabophit, Khet Phra Nakhon, Bangkok, Thailand","วัดราชบพิธ, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST4,10200,Samran Rat,สำราญราษฎร์,13.7521515,100.5044746,"Samran Rat, Khet Phra Nakhon, Bangkok, Thailand","สำราญราษฎร์, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST5,10200,San Chao Pho Suea,ศาลเจ้าพ่อเสือ,13.7538614,100.4982514,"San Chao Pho Suea, Khet Phra Nakhon, Bangkok, Thailand","ศาลเจ้าพ่อเสือ, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST6,10200,Sao Chingcha,เสาชิงช้า,13.7518891,100.5012654,"Sao Chingcha, Khet Phra Nakhon, Bangkok, Thailand","เสาชิงช้า, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST7,10200,Bowon Niwet,บวรนิเวศ,13.7598162,100.5007356,"Bowon Niwet, Khet Phra Nakhon, Bangkok, Thailand","บวรนิเวศ, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST8,10200,Talat Yot,ตลาดยอด,13.7603321,100.4978979,"Talat Yot, Khet Phra Nakhon, Bangkok, Thailand","ตลาดยอด, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST9,10200,Chana Songkhram,ชนะสงคราม,13.7608948,100.4951566,"Chana Songkhram, Khet Phra Nakhon, Bangkok, Thailand","ชนะสงคราม, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
PROV1,DIST1,SUBDIST10,10200,Ban Phan Thom,บ้านพานถม,13.7622495,100.5016047,"Ban Phan Thom, Khet Phra Nakhon, Bangkok, Thailand","บ้านพานถม, เขตพระนคร, กรุงเทพมหานคร, ประเทศไทย",2025-10-21 23:54:33,2025-10-21 23:54:33,COOR1640
